Premium,Year,Month,Date,Month_Sin,Month_Cos,Year_Fraction,Months_Elapsed,Premium_Pct_Total,Premium_Pct_Max
3095768.57,2023,3,2023-03-01,1.0,6.123233995736766e-17,2023.1666666666667,0,5.309958773679352,10.431205084530564
1911554.06,2023,4,2023-04-01,0.8660254037844387,-0.4999999999999998,2023.25,1,3.278757123714641,6.440989363112193
2161197.04,2023,5,2023-05-01,0.49999999999999994,-0.8660254037844387,2023.3333333333333,2,3.706952546584529,7.2821624235045475
3277589.87,2023,6,2023-06-01,1.2246467991473532e-16,-1.0,2023.4166666666667,3,5.621824336413192,11.043852711816204
2016920.33,2023,7,2023-07-01,-0.4999999999999997,-0.8660254037844388,2023.5,4,3.4594846352147552,6.796021448524837
2441551.01,2023,8,2023-08-01,-0.8660254037844385,-0.5000000000000004,2023.5833333333333,5,4.187824417034889,8.226816292554044
1856693.16,2023,9,2023-09-01,-1.0,-1.8369701987210297e-16,2023.6666666666667,6,3.184657997536437,6.256135332172172
2372788.71,2023,10,2023-10-01,-0.8660254037844386,0.5000000000000001,2023.75,7,4.069881176147418,7.995121436441459
29677957.1,2023,11,2023-11-01,-0.5000000000000004,0.8660254037844384,2023.8333333333333,8,50.90455734164405,100.0
1763281.38,2023,12,2023-12-01,-2.4492935982947064e-16,1.0,2023.9166666666667,9,3.024435200011232,5.941383950581962
2488732.32,2024,1,2024-01-01,0.49999999999999994,0.8660254037844387,2024.0,10,4.268751271004527,8.385793913018357
3149035.64,2024,2,2024-02-01,0.8660254037844386,0.5000000000000001,2024.0833333333333,11,5.4013241129478144,10.610688698650353
2088109.82,2024,3,2024-03-01,1.0,6.123233995736766e-17,2024.1666666666667,12,3.5815910680671497,7.035894731446997
